scene count,release_cuda simulation time,release_cuda total time
4,1316246339,1424604160
4,1304531607,1358911521
5,1358212422,1413145029
6,1360177891,1413209441
6,1363051021,1422485593
8,1482340819,1537644485
9,1556307890,1611087759
10,1636208145,1691423315
12,1695408666,1752131952
13,1905632999,1963067426
16,2162492673,2245108872
18,2293954365,2354010068
21,2394161306,2452866391
24,2493952572,2552308939
27,2580374084,2638953782
32,2546212647,2600248261
36,2365095715,2425319655
42,2398251073,2453638167
48,2539650195,2593735334
55,2551997762,2607216649
64,3043182653,3097061221
73,3216703903,3684212662
84,3318400125,3375670202
97,3546729327,3627489637
111,3717529985,3776042055
128,4102280704,4163627374
147,4392802694,4448140525
168,4313550920,4367214844
194,4729285450,4784620757
222,5246917080,5306951735
256,5781631291,5835752659
294,5730963962,5791185508
337,5743117464,5803429652
388,5857482908,5911497314
445,5748665021,5804899314
512,5743194690,5816545909
588,5866361461,5919444377
675,5871264341,5930552917
776,5879294733,5937296842
891,5839792410,5894097924
1024,6005464642,6060869511
1176,5810682014,5868986945
1351,5878331496,5937728516
1552,5971773864,6062355114
1782,5909491679,5972825028
2048,5920051172,5981163840
2352,5895297437,5952148554
2702,6056411488,6114360316
3104,5927865227,5986051463
3565,6099497703,6162178088
4096,6056689985,6122224755
4705,6121717408,6193415449
5404,6364067076,6433904323
6208,6840585321,6913351898
7131,7284080410,7350358544
8192,8388268569,8454008326
9410,9732176772,9800395237
10809,11963834966,12041306028
12416,14811120468,14886404745
14263,16921087805,17003632239
16384,19355990012,19438955401
18820,22148221077,22237763026
21618,29874817373,29973728268
24833,35409148013,35528400970
28526,34644402861,34759506049
32768,39935291883,40049074960
37640,46000841396,46109931068
43237,56985892668,57099860283
49667,61344269048,61555087885
57052,71188652436,71431852434
65536,84778963637,85058487646
75281,93325650451,93643557927
86475,113244827153,113603957252
