Scene Count,CUDA Kernel Time (s),CUDA Simulation Time (s)
4,0.0091253485,0.2235377715
4,0.0089063195,0.068958887
5,0.0089469165,0.0727536635
6,0.0088875935,0.065669776
6,0.008981346,0.0667005995
8,0.0099095115,0.066410949
9,0.0088609045,0.062029596
10,0.008822506,0.0612063085
12,0.0088696855,0.066881805
13,0.008766076,0.0672592335
16,0.0089837805,0.068485964
18,0.0101762645,0.0703343275
21,0.0088298955,0.061010649
24,0.0089521165,0.072465241
27,0.0089285675,0.0683976265
32,0.008859592,0.0656753905
36,0.0098186755,0.065904184
42,0.008778103,0.061492428
48,0.008926072,0.0647824425
55,0.00891681,0.0679975745
64,0.008924996,0.066132609
73,0.008950658,0.0643354735
84,0.008978481,0.0675931085
97,0.0088911615,0.067074469
111,0.00896488,0.0717573145
128,0.0090305895,0.0657864015
147,0.008971412,0.065557468
168,0.0089026175,0.0641913335
194,0.008950452,0.06442668
222,0.0089012705,0.0665045155
256,0.008939783,0.066610765
294,0.009949863,0.065689849
337,0.00888506,0.0648491885
388,0.008920677,0.066548193
445,0.008811687,0.066940256
512,0.008916624,0.068277975
588,0.009857063,0.069863259
675,0.0089093105,0.0625384155
776,0.0088347505,0.0675083525
891,0.0089305305,0.062242688
1024,0.0089030495,0.0703709805
1176,0.0090130515,0.063835357
1351,0.0097624,0.068602932
1552,0.0089451535,0.062233045
1782,0.0089433295,0.069574133
2048,0.0090812655,0.0636557875
2352,0.008855543,0.0712246905
2702,0.008922145,0.0666354275
3104,0.008916419,0.0657662825
3565,0.0084090975,0.0651998755
4096,0.009088614,0.0657837305
4705,0.009046845,0.066700389
5404,0.0090427925,0.066710894
6208,0.0105027505,0.06619665
7131,0.0084957655,0.0676585795
8192,0.0091041425,0.066213035
9410,0.0091977695,0.065387558
10809,0.011282661,0.066394447
12416,0.0114077365,0.0676255875
14263,0.0113853395,0.0677687385
16384,0.011182412,0.0660656065
18820,0.0120257775,0.07025908
21618,0.0158355515,0.0727818685
24833,0.0170283515,0.077877601
28526,0.0181768775,0.0765968765
32768,0.0184437605,0.077528047
37640,0.0186198775,0.076268688
43237,0.022492896,0.0789733225
49667,0.024275973,0.080055339
57052,0.0243189285,0.082034871
65536,0.0286114485,0.0851405175
75281,0.0318374365,0.0917704145
86475,0.0353173195,0.099255876
