scene count,release_cuda simulation time,release_cuda total time
4,791221054,791260318
4,788778447,788815878
5,888707690,888745693
6,1006064133,1006098929
6,1007226046,1007266542
8,1025477359,1025572168
9,1056524833,1056623238
10,1071114968,1071212100
12,1127709748,1127810358
13,1152133065,1152231882
16,1230897993,1230997319
18,1279614440,1279715040
21,1310642867,1310736724
24,1414707253,1414812511
27,1478919074,1479021286
32,1510666387,1510768831
36,1546128069,1546230011
42,1558612301,1558711799
48,1566508419,1566606183
55,1589076475,1589182686
64,1631049451,1631146143
73,1667424666,1667526878
84,1708162160,1708259294
97,1795054179,1795159137
111,1825186185,1825289540
128,1893529140,1893661439
147,1979477158,1979585853
168,2086781968,2086899900
194,2193900105,2194022696
222,2291464749,2291578724
256,2411952038,2412067385
294,2415181490,2415291648
337,2416966879,2417078159
388,2473007926,2473131639
445,2508913124,2509028030
512,2529331845,2529457592
588,2545445033,2545572153
675,2565159367,2565270156
776,2592737635,2592933014
891,2617510422,2617680192
1024,2650520907,2650683184
1176,2679523123,2679683596
1351,2706614343,2706786478
1552,2766453945,2766640056
1782,2795432607,2795602447
2048,2816865531,2817044959
2352,2841457857,2841636794
2702,2861743346,2861932053
3104,2881381636,2881634152
3565,2912026520,2912263938
4096,2966999402,2967243121
4705,3151297906,3294304991
5404,3216497079,3216753723
6208,3503146016,3503410525
7131,4037982390,4038236429
8192,4719822077,4720089301
9410,5646547822,5646829163
10809,6792735962,6793012473
12416,8242100938,8242412407
14263,9719669494,9719980600
16384,11601468426,11601801825
18820,13589431943,13589787924
21618,17156245664,17156607417
24833,19799677005,19800048997
28526,21108456024,21108876277
32768,23519948061,23524068174
37640,28212043070,28216174634
43237,36592797986,36597058323
49667,36756802353,36760941130
57052,43292431859,43391561987
65536,50014430110,50148739389
75281,57474352927,57631671461
86475,71118801028,71338928104
