scene count,release_cuda simulation time,release_cuda total time
4,1354470907,1500060871
4,1318758112,1372632290
5,1376096180,1431287164
6,1396071456,1448836802
6,1404562590,1457689038
8,1483372378,1535336022
9,1552444679,1613253084
10,1582280454,1640193896
12,1690457463,1742834918
13,1811716809,1867842198
16,1899829684,1951997635
18,1986353099,2044656637
21,2078187686,2141630403
24,2165114501,2227577630
27,2231100338,2286153673
32,2379412039,2439443439
36,2416241471,2469073524
42,2447764571,2505922915
48,2505543999,2558766089
55,2543320632,2596699627
64,2843514969,2905810781
73,2848630573,2901351426
84,3031981447,3095104312
97,3192080602,3250989193
111,3275301243,3335098962
128,3551372797,3624351430
147,3840162804,3896646077
168,4171908856,4224578463
194,4610015169,4668486594
222,5059104556,5118806864
256,5725844769,5786422020
294,5622943227,5678059330
337,5702965221,5760443903
388,5644595729,5698064503
445,5797864434,5853098178
512,5718845501,5780466349
588,5736169774,5792374563
675,5860096436,5913265474
776,5780035196,5835186906
891,5775753226,5828323038
1024,5784922557,5844073384
1176,5791467224,5846512409
1351,6000513150,6053866782
1552,5938727881,5995914028
1782,5807520042,5864121174
2048,5912351312,5970473736
2352,6104197126,6161322378
2702,5905578536,5972839694
3104,6024443972,6091339931
3565,5953787112,6022054961
4096,6004423103,6067056404
4705,6121270801,6186892824
5404,6293569209,6356138709
6208,6801204160,6873676025
7131,7199274792,7269516570
8192,8360954725,8430362377
9410,9806899528,9878858085
10809,11809548664,11883210427
12416,15467786428,15546181175
14263,18227312471,18306905191
16384,19362945557,19446067450
18820,22937070486,23033748243
21618,29720657534,29818525848
24833,34751942769,34856887966
28526,35075805852,35189693351
32768,39349207660,39464861824
37640,45397293988,45506990964
43237,57730794339,57839795262
49667,62591566226,62704074450
57052,68775154203,69014548267
65536,86119583907,86400205788
75281,92032605563,92350060626
86475,112229387728,112594550163
