scene count,release_cuda simulation time,release_cuda total time
4,790338866,790375275
4,788996154,789033825
5,880929991,880967651
6,995261157,995300562
6,1020735141,1020775166
8,1028477242,1028589123
9,1063470809,1063572461
10,1075311540,1075412801
12,1131491766,1131590412
13,1152209579,1152308705
16,1235612767,1235713025
18,1278453372,1278554282
21,1311154948,1311253584
24,1414968508,1415062376
27,1483821002,1483922263
32,1511237260,1511337729
36,1529131318,1529231617
42,1543964323,1544060644
48,1561860184,1561966925
55,1581066737,1581169189
64,1633701055,1633799611
73,1675956738,1676058310
84,1718626362,1718725760
97,1776506322,1776607112
111,1839493075,1839599185
128,1895722422,1895836738
147,1988105757,1988222657
168,2093170256,2093282036
194,2197741546,2197852506
222,2291105348,2291225735
256,2411375026,2411490172
294,2416027620,2416147866
337,2420701384,2420815119
388,2462713989,2462832393
445,2506496763,2506614916
512,2530575515,2530698998
588,2546870668,2546996054
675,2563020756,2563133840
776,2586047053,2586207286
891,2608756133,2608930512
1024,2638058497,2638226043
1176,2680598606,2680796399
1351,2706072520,2706229345
1552,2763819489,2764004588
1782,2787740444,2789722693
2048,2815240198,2815429064
2352,2840296454,2840478929
2702,2856547584,2856731632
3104,2880482174,2880713200
3565,2912190866,2912437310
4096,2965537927,2965791666
4705,3050564396,3050816682
5404,3217531544,3217778450
6208,3519187481,3519437653
7131,4021296656,4021561245
8192,4711276523,4711564777
9410,5643124473,5643396947
10809,6790973910,6791255771
12416,8247932901,8248248326
14263,9706583984,9706898317
16384,11589439760,11589768009
18820,13587343124,13587680350
21618,17148600880,17148955889
24833,18390156154,18390562290
28526,19299719596,19300138466
32768,23880967717,23881562228
37640,28258827561,28264004142
43237,32892995498,32897131658
49667,34129816620,34133958341
57052,39654616501,39658771036
65536,50730547520,50839161402
75281,52582419872,52757693928
86475,66110401071,66328190252
