scene count,release_cuda simulation time,release_cuda total time
5,8885396,79772100
6,11735412,70385689
8,8780879,63221569
9,8769698,59692123
11,8927826,70075484
13,8868234,62111845
16,9131881,68838031
19,8905346,507392043
22,8808531,63558855
26,8934820,61932627
32,8944077,70375811
38,8892431,62382968
45,8932686,69334838
53,8907119,62951049
64,8878924,69017830
76,8947224,61208212
90,8878324,61410033
107,8818831,65455721
128,8938937,63924975
152,8847625,60923403
181,8903061,60246298
215,8745362,73967284
256,8934310,63993835
304,8902298,63804028
362,8897171,66921276
430,8872432,61126468
512,8869759,67698582
608,8810275,59374083
724,8956010,63380097
861,8995054,67366746
1024,11721244,71568690
1217,8799635,64265087
1448,9688701,64577936
1722,8914482,68194187
2048,8896808,62493024
2435,8922416,68665556
2896,8804394,60056098
3444,8936132,71084067
4096,8905805,62091376
4870,8907748,70442476
5792,9099800,64268713
6888,9842742,70547865
8192,8185186,62223616
9741,9637064,75617626
11585,11288721,70851979
13777,11414065,64187300
16384,11851951,65333661
19483,11983168,68640949
23170,15819293,67351657
27554,18170407,72532148
32768,18502825,76007000
38967,18854638,77335044
46340,25759560,82427380
55108,25309862,81279094
65536,28809291,94039548
77935,30245549,94708899
92681,34736889,101535745
110217,41254721,104373094
131072,47853557,113350267
155871,56453275,120120675
185363,65836931,140020844
220435,77293697,150144886
262144,88973974,167922521
311743,104399185,192373466
370727,123928294,218561532
440871,147247262,256990585
524288,172183057,282622334
623487,205375285,317912527
741455,244056442,363701669
881743,382543133,494182352
1048576,339858984,605038533
1246974,441287237,759789186
1482910,474693619,851551719
