scene count,release_cuda simulation time,release_cuda total time
4,1114008783,1589824833
4,1096821983,1150464073
5,1032834078,1085686687
6,1014876051,1073691359
6,1023049320,1074850977
8,1071636954,1124011983
9,1081554733,1134134137
10,1085425144,1139608894
12,1183876760,1663043971
13,1224581394,1283063804
16,1286936671,1341397214
18,1391763554,1448844741
21,1482769225,1540483806
24,1558147868,1610229223
27,1619171492,1671883698
32,1676103497,1734721903
36,1719366357,1770397112
42,1765588029,1818974656
48,1837000971,1888548389
55,1965655282,2020862313
64,2116324682,2168379397
73,2208334998,2261472626
84,2357100316,2415747727
97,2638030477,2705217959
111,2784980540,2837122140
128,3118384307,3182552232
147,3426355677,3481427242
168,3792844084,3846363792
194,4295140204,4353082846
222,4771569382,4823652481
256,5413423803,5472180531
294,5415375995,5474519933
337,5411153048,5467424327
388,5432995541,5487085025
445,5440923958,5501118036
512,5459846162,5513113395
588,5461509521,5515058915
675,5458143901,5510544379
776,5458060965,5518688862
891,5466816251,5524959040
1024,5469833790,5522106506
1176,5468695417,5528616203
1351,5469380548,5524909668
1552,5470062475,5529128856
1782,5471437218,5532598691
2048,5472700561,5525874447
2352,5470714644,5523555904
2702,5486226596,5540283317
3104,5501134508,5564574020
3565,5516357304,5575432954
4096,5554484698,5616311147
4705,5601313014,5665350955
5404,5699173328,5764201426
6208,5941657417,6013771173
7131,6622799980,6686148561
8192,7685141031,7753803505
9410,9773687379,9842160216
10809,11516231191,11593251812
12416,14360344504,14431942738
14263,15869773491,15949630342
16384,18851123265,18937632467
18820,21729652953,21827735965
21618,28261172251,28357975570
24833,33316072024,33423869382
28526,33618319832,33730158284
32768,37312687550,37427437704
37640,43462384391,43572822752
43237,55623691949,55735036038
49667,59008314494,59215055278
57052,66052704269,66290541738
65536,84065286403,84335453694
75281,87590355674,87904689436
86475,107125140050,107494298701
