scene count,release_cuda simulation time,release_cuda total time
4,614214131,614254728
4,604612903,604655163
5,677397629,677440491
6,696111324,696152301
6,695084828,695125755
8,689357376,689462584
9,706689615,706792338
10,710826177,710921116
12,731295603,731429245
13,737333642,737435665
16,766946875,767046673
18,791636460,791738102
21,912648284,912751168
24,872558915,872661658
27,893813893,895317458
32,905008866,905109015
36,911299240,911403086
42,918950752,919052042
48,929312715,929419776
55,955775785,955878038
64,968993415,969097031
73,1038826815,1038925490
84,1024679571,1024785832
97,1083509789,1083621620
111,1121426002,1121530148
128,1180120062,1180236271
147,1287908315,1288026779
168,1370852935,1370971087
194,1483681044,1483798335
222,1586558927,1586671449
256,1700639139,1700755479
294,1705616636,1705734278
337,1707309299,1707430627
388,1736216779,1736340974
445,1747311585,1747445859
512,1766818417,1766937602
588,1778074555,1778194692
675,1785531419,1785645184
776,1807292682,1807465267
891,1819610595,1819772241
1024,1837391752,1837576430
1176,1854718190,1854898620
1351,1860352697,1860524912
1552,1874737748,1874925111
1782,1869654841,1869826354
2048,1882883010,1883067728
2352,1890334164,1890495669
2702,1898169712,1898352928
3104,1911103577,1911336576
3565,1926096954,1926382784
4096,1956946698,1957199806
4705,2000574183,2000824955
5404,2080919798,2081164791
6208,2222314647,2222593032
7131,2508131402,2508376816
8192,2933761845,2934028408
9410,3492692620,3492987937
10809,4182427938,4182714588
12416,5086771219,5087071495
14263,6251262494,6251576816
16384,7586245043,7586566901
18820,9203245365,9203603570
21618,11766015339,11766410654
24833,12606864872,12607237585
28526,12789350828,12789777872
32768,14778773164,14782894768
37640,17496144047,17500276241
43237,21805441162,21809578906
49667,22901607230,22975832742
57052,27620714628,27625930516
65536,32565545554,32700153293
75281,35049421962,35228559160
86475,42508119714,42706916773
