scene count,release_cuda simulation time,release_cuda total time
4,9198294,370513350
4,8914468,74235854
5,8876426,72570332
6,8752292,62582059
6,9056075,67785432
8,8902436,63381137
9,8762062,61208540
10,8803538,60772137
12,8887447,72396305
13,8769796,64342259
16,8918946,74483970
18,11411486,71248231
21,8742214,62507849
24,8929487,67762618
27,8812527,60905699
32,8790105,67962264
36,8934556,62135508
42,8770317,61870508
48,8910281,62208986
55,8905462,71293625
64,8923436,64775726
73,8976215,68429124
84,8977386,64341688
97,8884833,72681163
111,8964172,70569309
128,8916643,61972571
147,9045285,68545113
168,8931630,62511497
194,8993797,67201539
222,8926130,62801463
256,8916342,69112764
294,8826362,61825643
337,8821794,68399690
388,8894019,64999749
445,8732205,68904260
512,8898589,62831360
588,8945447,68672063
675,8910881,62229484
776,8800544,68751151
891,8927534,62609071
1024,8925390,69459306
1176,8902075,62869392
1351,8905632,67409502
1552,8936781,61980746
1782,8936819,69948739
2048,9179068,64052572
2352,8799330,68520667
2702,8944876,61881098
3104,8909239,69180602
3565,7884676,62430374
4096,9234582,68769216
4705,9130225,64872056
5404,9118994,68152954
6208,9174188,61988079
7131,8964112,73184711
8192,9102793,62870122
9410,9112913,65492918
10809,11351464,64016945
12416,11437185,71507268
14263,11435953,65767306
16384,10654730,65686673
18820,11970220,70908049
21618,15748284,69165454
24833,15936529,77744028
28526,18181513,75539411
32768,18471900,77139097
37640,18418810,75703171
43237,22315747,80432999
49667,24344652,79773997
57052,25023202,77594986
65536,28588674,83529687
75281,32611569,91674594
86475,35330958,97243856
