scene count,release_cuda simulation time,release_cuda total time
5,8871475,75294103
6,8891444,64998141
8,8764343,62929829
9,8826030,68874533
11,8752229,61336144
13,9005126,70869456
16,8916089,63579004
19,8905749,68073552
22,9355769,63490567
26,8837741,63111863
32,9067134,63812805
38,8907554,66793799
45,8927741,62980424
53,8881254,69367894
64,8746659,62922645
76,8938240,71845577
90,9266670,72258586
107,9007121,62339436
128,8864772,68924056
152,8911451,63624419
181,8908245,69190440
215,8937349,62487826
256,8843793,69299295
304,8939843,61652450
362,9070209,71810281
430,8899677,61807171
512,8838312,70846733
608,8808838,62179184
724,9243888,69402870
861,8888328,62124190
1024,8937931,67346221
1217,8904407,63166896
1448,8743594,67583348
1722,9050111,63795522
2048,8908965,67701179
2435,8955333,67146855
2896,8948770,66659735
3444,8919637,61936185
4096,8811731,66650137
4870,9024875,61148790
5792,8955354,69676577
6888,8957526,64157235
8192,9220343,68270935
9741,9222827,62180937
11585,12350708,71776036
13777,10383778,64449667
16384,12872072,72233650
19483,12377689,67997910
23170,18105052,71445143
27554,17103083,76446908
32768,18432240,77094940
38967,20842837,80445079
46340,25830525,80213774
55108,24499887,81545095
65536,27710202,86135164
77935,31369064,93081347
92681,35804391,98799093
110217,41235866,104548618
131072,50576396,122796089
155871,57796686,123321030
185363,66202974,143351405
220435,77212211,149218192
262144,88936206,169651005
311743,104904047,189822937
370727,124471700,221541280
440871,147119472,252425068
524288,173131822,285306035
623487,203458720,313782191
741455,242089242,412934079
881743,285075789,391992594
1048576,338167120,593354549
1246974,404324808,727727967
1482910,472179688,833365891
