scene count,release simulation time,release total time
4,5273542,16527408
4,4653373,15247385
5,4934963,15624135
6,5471174,16287476
6,5472567,16616676
8,5422652,16747362
9,5621157,16764324
10,5743077,17669531
12,7211274,18077960
13,7331872,19386307
16,7818139,18638306
18,8577722,19539797
21,8204106,21531090
24,9180448,20843103
27,11049642,22593694
32,11275426,22156380
36,11446619,22579808
42,13929129,25253919
48,15923811,26546355
55,16673823,27746858
64,19115316,30621538
73,18801665,32584690
84,23507627,34690820
97,28276407,41172789
111,30351038,41847922
128,33910649,46532673
147,39153743,50262345
168,42694267,56506386
194,44571477,56462432
222,49412132,60622876
256,78031345,91355583
294,72474790,86000649
337,83080363,95099270
388,95856388,108995939
445,98012613,110407700
512,124554149,135654036
588,127258820,139300270
675,163091681,174668906
776,182101729,193543558
891,216418382,228000297
1024,245715333,256834095
1176,248359818,260379007
1351,333256886,344411305
1552,381174911,408622926
1782,386684878,399016117
2048,493742304,504531223
2352,562338782,576884344
2702,651368331,663609708
3104,762632025,774979463
3565,751280084,762735851
4096,988970438,1000482360
4705,1127218415,1139677291
5404,1309564473,1321874650
6208,1530797231,1546042382
7131,1732663630,1754481522
8192,1755560165,1767358407
9410,2275279009,2287521950
10809,2607665496,2619310199
12416,3044075256,3056614124
14263,3474319223,3485772455
16384,3969565057,3980871231
18820,4651321189,4675499917
21618,5313213260,5331546147
24833,6101731145,6119248886
28526,7096638864,7108590378
32768,8031151105,8044113596
37640,8142757992,8155781578
43237,10585592366,10597408085
49667,10562693509,10575626164
57052,13766071883,13779788936
65536,14077910129,14091056638
75281,18722170265,18734125397
86475,18464512346,18483595037
